concept	182 0
lea	5 0
hancock	9 0
golea	4 0
pitt	6 0
hess	0 5
read-once	2 0
ottawa-carleton	2 0
ottawa	5 0
perrone	5.98 0.02
plugging	9 0
terion	4 0
sct	1.46 0.54
cov	3.98 0.02
aset	5.98 0.02
faithfulness	4 0
threshold-nets	0.72 0.28
nential	6 0
lambert	5 0
f-net	2 0
lipschitz-bound	0.62 0.38
proximated	4 0
self-conjugate	0.82 0.18
a-realizations	0.82 0.18
canberra	7 0
helmke	0.84 0.16
expan-	4.98 0.02
telecom-	4 0
a-realization	0.8 0.2
wulff	0.52 0.48
randomly-chosen	2.74 1.26
ergodicity	9.98 0.02
adatron	5 0
vhu-networks	0.88 0.12
subdomains	0 4
subdomain	1.98 0.02
fhu-network	0.74 0.26
ff-networks	0.84 0.16
lebesgue	4 0
sakurai	6 0
ff-network	0.78 0.22
blackburn	8 0
kowalczyk	6 0
cdhmm	0.62 0.38
cdmlp	0.42 0.58
factored	25.94 0.06
biphone	2 0
ition	2.36 0.64
makhoul	0.12 5.88
error-based	2.96 0.04
abrash	0.96 1.04
phonemically	0 2
kl-	6 0
torque-	0 2
midsagittal	0 3
phoneme-specific	0 2
filter-	6 0
transducing	0 3
emma	0 2
potato	0 3
ipi	1.3 0.7
ifr	0.16 1.84
lyon	0.06 10.94
wavelet-like	1.4 1.6
narrowband	1.7 3.3
equalizer	0.62 0.38
carder	2.96 0.04
feature-space	0.02 3.98
rbs	1.82 0.18
hulls	3.94 0.06
log-energy	4 0
hermansky	1.82 0.18
gdnn	0.42 0.58
factorization	24 0
factorize	0.02 6.98
zahalka	0.38 0.62
weber	0 6
delve	3 3
neuroengineering	1.12 4.88
pola	0 2
bootstrapped	4.98 0.02
crimination	0 4
ondary	2.16 0.84
flames	1.86 3.14
csr	1.86 3.14
ebf	0.38 0.62
rescoring	1.6 1.4
byblos	2 0
zavaliagkos	0.36 1.64
efficients	4.98 0.02
yc	0.14 2.86
excerpted	0.48 0.52
orientation-	0 3
pen-	4 0
outseg	2 0
editing	0 6
inseg	2 0
writer-independent	3 0
keywords	0.2 4.8
phmm	1.72 0.28
eurospeech	5 0
thirteen	0.08 8.92
morning	0.12 1.88
fourteen	7.96 0.04
siso	2 0
calendar	0.24 5.76
yuan	0 3
bp-trained	0.02 1.98
intertwined	0.02 4.98
two-component	5.6 0.4
utilities	7 0
backfitting	3 0
hsvk	0.54 0.46
vfes	0.6 0.4
tyrosine	2 0
pdgf	0.58 0.42
csrc	0.44 0.56
mlck	0.58 0.42
phylogenetic	1.94 0.06
globin	2.96 0.04
catalytic	0 3
wee	5.98 0.02
capk	0.5 0.5
mcclure	0.58 0.42
ctl	0 4
thallium	0.3 0.7
computer-aided	0.36 1.64
myocardial	0.32 0.68
instrumentation	0.4 5.6
over-training	1.16 1.84
pet	0.02 2.98
lung	0 4
promis-	4 0
scintigrams	0.3 0.7
divider	0 4
y-values	2.92 0.08
kirk	0.02 3.98
pfm	0.08 2.92
buildings	4 0
peripherals	0 3
dependen-	0.02 4.98
aggregating	6 0
percepts	0 11
high-noise	3 0
tanner	0 4
kerns	0.5 0.5
plementations	2.14 1.86
scribe	8.98 0.02
programmers	3.98 0.02
sesame	0.5 0.5
outsites	0.34 0.66
reused	5.2 3.8
xilink	0.42 0.58
gardner	5 0
tractor	6 0
fpga	0 4
zecchina	0.4 0.6
italian	0 6
pasero	0.54 0.46
wishing	4 0
axoclamp	0.22 0.78
event-address	0.22 0.78
cleared	0.02 4.98
tiffs	0 4
energy-efficient	0.3 0.7
agc	0 3
contour-length	0.16 0.84
pixel-based	0.44 3.56
shih-chii	0 4
darkest	5 0
image-based	3.98 0.02
one-weight-at-a-time	0.44 0.56
perturba-	0 4
bol	5 0
seventeenth	0 6
tributes	3 0
re-write	0.02 5.98
twelfth	21 0
parent-child	1.94 0.06
hg	0.28 4.72
compositionality	0 3
gentner	0 3
storm	1.18 2.82
king	9.98 0.02
tversky	0.02 2.98
underline	4 0
metaphorical	0 2
markman	0 2
planet	3 0
pops	1.82 2.18
demon	0.44 0.56
cursire	0 3
blackboard	0.52 0.48
demons	0.38 0.62
hollatz	4 0
skill	8.86 0.14
neuneier	9 0
bavelier	1.42 0.58
coltheart	0 2
episodic	5 0
blindness	1.3 0.7
logo-trained	0.42 0.58
textbook-trained	0.5 0.5
grade	0 5
interviews	0.5 0.5
lehrer	0.34 0.66
logo	0.46 0.54
ice	3.7 0.3
fourgram	0.42 0.58
browsing	4 0
uninformative	0.08 11.92
ste	0 2
coocurrence	0.42 0.58
schiitze	0.46 0.54
berry	0 3
chase	0.88 2.12
ilarity	6 0
autoclass	4 0
ruling	0.18 3.82
fourgrams	0.46 0.54
p-gate	0.1 0.9
mpi	0.44 4.56
where-pathway	0.18 0.82
unattended	0 5
perceptual-code	0.2 0.8
what-pathway	0.2 0.8
dirk	3.66 0.34
rainer	0 4
tex-	0 5
spotlight-layer	0.22 0.78
goebel	0.24 0.76
spotlight	0 4
isometric	0 5
chewing	0.26 0.74
v-shaped	1.34 1.66
crudely	0 5
tooth	0.12 0.88
widest	4 0
l-shaped	0.86 1.14
ossicles	0.16 0.84
pilocarpine	0 3
prey	0 6
vous	0 4
shumway	1.26 1.74
postsubiculum	0.04 3.96
supposes	0 5
stricted	8.98 0.02
taube	0 4
recce	0 2
centres	0 19
encoun-	7 0
head-direction	0 5
consolidation	0.22 1.78
pre-exposure	0.3 0.7
stimulus-stimulus	0.26 0.74
disrupted	0 6
blink	0 7
hippocmnpal	0.28 0.72
hippocampal-lesioned	0.38 0.62
trial-level	0.18 0.82
ziv	1.7 1.3
synfire	0.24 4.76
divergences	7 0
controt	2.54 2.46
shift-invariant	3 0
surrogate	1.9 2.1
olivier	3.98 0.02
email	7 0
uti-	0 4
collicular	0.02 2.98
montague	0 5
expec-	5.38 2.62
zxw	0 3
foveation	0 6
awt	6 0
unbalanced	0.04 4.96
cem	3.9 0.1
thalamocortical	0 6
backed	5 0
ksnig	0 2
coexistence	0.2 4.8
renewal	0 5
isih	0 2
segrega-	0 4
between-eye	0 2
dynami-	0 7
persisted	0 4
tailfan	0.18 0.82
saccular	0.16 1.84
mscc	0.82 1.18
sub-critical	0 2
organised	0 4
organising	0 6
parameterising	0.44 0.56
re-written	5 0
fundamentals	20.98 0.02
walton	0.56 1.44
massone	0.22 0.78
berthoz	0 2
omnipause	0.14 0.86
cnrs	6.88 0.12
courtesy	0 6
pheromone	0.28 0.72
neurobiologie	0 3
dreyfus	1.22 1.78
overestimates	0.1 7.9
skaggs	0.22 2.78
ez	10 0
autoencoders	1.82 3.18
vqs	2 0
kullback-liebler	11 0
factorim	7 0
reconstruction-error	0.52 0.48
code-cost	0.54 0.46
weight-vector	2 0
scatterplot	4.92 0.08
parsimoniously	0 3
hill-	4 0
dolce	0.5 0.5
rq	1.58 0.42
forgy	0.98 1.02
cluster-centers	0.44 0.56
independencies	12 0
jj	0 13
observ-	5 0
saund	0 4
rni	7.98 0.02
cluster-center	0.48 0.52
pcp	0.66 0.34
signal-plus-noise	3 0
macroeconomic	3 0
uttering	0 3
bregler	11 0
snakes	2.56 0.44
manke	2.22 1.78
graylevel	3.64 3.36
bourgine	1.6 0.4
introns	0 2
rmhc	0.64 0.36
hitchhiking	0.56 0.44
iga	0.48 0.52
smoothers	5 0
race	1.34 2.66
marina	8 0
queried	8 0
races	2 0
kingdom	0.02 6.98
maron	3 0
hoeffding	2.7 1.3
synchronizes	0 7
desynchronized	0 5
subgraphs	2 2
p-n	0.78 0.22
wards	8 0
sub-manifold	0.18 2.82
time-weighted	2 0
frasconi	6.94 0.06
opdrationnelle	4 0
montrdal	6 0
walked	0 4
dn	6.94 0.06
movellan	8 0
gnarl	0.36 0.64
toroidal	0 5
rensselaer	5 0
co-evolution	0.02 2.98
koza	0.3 1.7
gregory	0 10
anand	5.98 0.02
sgi	14 0
mjk	0 3
recalculating	4 0
mia	3 0
yak	0.02 2.98
expectation-maximization	33 0
interleaves	6 0
ilxi	3 0
dissimilarities	5 0
approximative	5 0
meanfield	2 0
reestimation	6.82 1.18
rheinische	4 0
sensation	6.98 0.02
met-	4.58 1.42
cow	1 2
supervisory	4.88 0.12
unfortu-	1.62 2.38
complementarity	2.66 0.34
zoubin	23.9 0.1
e-step	33.98 0.02
incompleteness	0.1 3.9
density-based	2.98 0.02
m-step	40 0
re-estimates	2 0
increde	4.98 0.02
titterington	0.96 1.04
ghahramani	44 0
incom-	15 0
regressor	5 0
lutions	5 0
dydx	3 0
finite-difference	4 0
skewness	6 0
kurtosis	14 0
fo-system	0.7 0.3
kl-system	0.7 0.3
sweden	5 0
mv-system	0.58 0.42
linksping	0.62 0.38
fo-	0.02 5.98
lenz	0.7 0.3
loan	0.12 3.88
uncontrollable	0.04 3.96
uv	7.98 0.02
oae	3 0
nanda	1.82 0.18
eigen-directions	2 0
vqpca	0.62 0.38
vqpca-eucl	0.46 0.54
kambhatla	5.96 0.04
yq	4 0
juggling	0.56 1.44
covariates	0.46 1.54
xe	6.98 0.02
trollers	0 4
stefan	13 0
clips	0 5
schaal	8 0
econometrics	6 0
dist	2.12 2.88
bible	2.9 0.1
ancestor	6 0
waters	1.5 1.5
tse	1.66 0.34
descendants	4 0
god	2 0
qx	3.98 0.02
amnesia	2 0
yoram	14.98 0.02
ccg	1.08 0.92
cca	2 0
kullback-	6 0
nll	0 3
sub-class	1.98 1.02
p-value	4 0
uc-irvine	4.96 0.04
localknnone	0.62 0.38
chi	2.72 0.28
bpp	0.78 0.22
leverages	1.82 0.18
fa-	5.98 0.02
hyperparameter	17 0
iwl	5.96 0.04
guessing	9 0
ioi	3 0
guessed	0.86 2.14
thodberg	1.12 0.88
spectroscopic	2 0
optionally	3.96 0.04
nir	6 0
evidences	0 6
reposing	0.54 0.46
musk	0.86 3.14
hydrogen	1.4 1.6
tangent-prop	5 0
standardizing	3 0
money	11 0
ginzburg	0 2
unprimed	2 0
resolu-	5.98 0.02
mantissa	0.58 0.42
harget	0.56 0.44
mif	0.52 0.48
zth	0.5 0.5
bostock	0.58 0.42
diabetes	11.98 0.02
parametrisation	2.26 1.74
ctm	0.76 0.24
vladimir	13 0
najafi	0.72 0.28
ker-	8.92 0.08
cherkassky	1.98 0.02
som	0.12 11.88
simplices	3 0
eb	7 0
best-matching	2 0
bochum	0.44 3.56
delaunay	5.94 0.06
ovi	1.74 0.26
kamimura	2 0
researched	2.78 0.22
laurens	1.86 0.14
frean	2.94 0.06
leerink	0 3
upstart	0 2
narrowing	0 5
ueda	3.52 1.48
ijk	3.98 0.02
pearl	7.92 0.08
decomposable	3 0
lyl	7 0
bic	3 0
su	5.74 0.26
changfeng	2 0
kappen	6 0
kai	6 0
lars	8 0
austria	12 0
ellipsoid	5 0
graz	0 6
gout	0.84 0.16
pseudo-dimension	6 0
bit-length	2 0
bx	5.96 0.04
agnostic	12 0
mhaskar	1.48 0.52
stest	0.86 0.14
datapoints	9 0
fefferman	0.68 0.32
under-parametrized	0.72 0.28
cnls	2 0
hillsdale	0.02 3.98
concavity	4.96 0.04
infimum	5 0
glover	2 0
bust	3.04 3.96
m-state	1.34 1.66
hush	0.6 0.4
horne	7.76 0.24
superlinear	6 0
siegelmann	6 0
fbr	4.98 0.02
resolvability	2 0
eiv	1.94 0.06
elf	1.26 0.74
transitional	2 0
managing	5.92 0.08
crux	7 0
solodov	0.82 0.18
plutowski	0 9
soft-	6.84 6.16
delete-one	0.74 0.26
imse	0.74 0.26
timates	4.96 0.04
biometrika	1.94 1.06
gauged	5 0
soft-committee	6 0
salamon	5 0
bennett	3.82 0.18
shapiro	1.64 3.36
bias-variance	10 0
hyperprior	5 0
raphson	5 0
retinopathy	2 0
diabetic	4 0
grace	7.96 0.04
newton-raphson	10 0
jm	0.02 9.98
logit	7 0
anova	5 0
hyperpriors	5 0
epidemiological	3 0
optimm	2 0
h-units	1.98 0.02
diophantine	0.7 0.3
wiklicky	0.64 0.36
austrian	0 9
sub-modules	0.6 0.4
schottengasse	5.98 0.02
tractability	9 0
vienna	4.94 0.06
non-existence	3 0
felix	0.02 2.98
unsatisfied	0.58 0.42
industries	0.68 1.32
mat-	0 5
unsatisfiable	0.64 0.36
troyansky	0.54 0.46
racah	0.08 5.92
k-sat	1.5 0.5
metabolism	0.6 3.4
virasoro	6 0
paramagnetic	5 0
pseudo-orbit	0.7 0.3
garzon	2 0
botelho	0.78 0.22
finite-	8 0
shadowing	1.36 0.64
pseudo-orbits	0.48 0.52
hard-threshold	3.98 0.02
icy	9.82 0.18
zij	4.4 6.6
graph-	5 0
wulfram	0 4
autocorrelations	8.8 0.2
heskes	14 0
similar-	0.02 7.98
two-iteration	0.34 0.66
tsitsiklis	15.88 0.12
additive-type	0.54 0.46
asynchronized	1.96 0.04
matsuoka	1.66 0.34
contractive	0.6 0.4
asynchronizable	0.52 0.48
p-contractive	0.5 0.5
fifteenth	14 0
somers	0 8
wb	0 7
calabrese	0 2
weimann	0.12 0.88
sublinear	0.12 3.88
esyn	0.1 4.9
schutter	0 2
tuft	0.2 0.8
looses	0.02 5.98
sub-unit	0 4
glomeruli	0.08 0.92
bee	0 5
glomerulus	0.16 0.84
mushroom	0.46 1.54
honeybee	0 2
glomerular	0.06 0.94
pooled	0.1 14.9
rymer	0.16 0.84
fh-ing	0.12 0.88
inbar	0.26 1.74
desynchronization	0 3
rcs	0 2
renshaw	0.14 0.86
windhorst	0.24 0.76
graham	0 7
macaques	1.52 0.48
dyes	0 4
semi-log	0.24 0.76
laughlin	0 6
srinivasan	0 2
passages	2.42 0.58
loud	5 0
rayleigh	3 0
gap-junctions	0.14 0.86
d-amacrine	0.08 0.92
vibert	0.12 0.88
dopaminergic	0 2
non-spike	0.48 0.52
h-h	0.44 0.56
rowat	0.28 0.72
utricle	0.26 0.74
mauthner	0.22 0.78
honey	0.02 2.98
otolith	0 2
ishii	0 7
spike-	4.98 0.02
terrestrial	1.52 3.48
manthner	0.22 0.78
xnor	0 3
php	0.3 0.7
sural	0.16 1.84
saccule	0.3 0.7
utricular	0.38 0.62
fixate	0 5
brute-force	4.26 0.74
lewicki	12 0
nectar	0.28 0.72
vt-	0.26 0.74
bumble	0.46 0.54
indifference	0.36 0.64
bees	0 3
experience-dependent	0 6
owls	0 5
stylized	3.94 0.06
brainard	0 2
predominance	2.18 1.82
interganglionic	0.08 0.92
friesen	0.02 3.98
subserves	0 4
undulatory	0 3
olami	0.24 0.76
multaneously	1.6 4.4
buckland	0.3 0.7
jaakkola	27 0
dormant	2 0
swapped	0 3
tpdp	0.5 0.5
wth	3 0
commerce	0 6
kaelbling	4 0
r-values	0.44 0.56
next-state	5.98 0.02
yorke	2 0
cmpsci	5 0
connolly	0.36 1.64
extremize	4 0
two-room	0.56 0.44
grupen	3 0
hanging	4 0
optimizers	4 0
planners	4 0
justin	5.94 0.06
inefficiency	2.64 3.36
q-routing	1.32 0.68
boyan	9.94 0.06
congested	2 0
xerion	0 6
information-based	0 6
plicitly	0 4
oed	2.98 0.02
parti-game	3.98 0.02
value-	4 0
duff	6 0
rtdp	6 0
policy-iteration	1.66 2.34
mdps	22.88 0.12
mdp	33 0
actor-critic	9 0
tommi	17 0
steeply	6 0
puck	1.48 0.52
patti-game	0.96 2.04
feigenbaum	3 0
cacciatore	0.34 1.66
flee	1.36 0.64
gatlug	3 0
compromised	1.36 3.64
forward-inverse	1.76 1.24
via-	0.34 0.66
microbeam	0 4
snap	0 4
wada	0 3
forger	0.46 0.54
siamese	0.24 1.76
typed	1.26 0.74
arch	2.98 0.02
function-based	1.52 0.48
practiced	0 7
plamondon	2 0
sub-sampling	3.96 0.04
repeatable	0 5
telegraph	1.58 0.42
abl	0.4 0.6
machine-printed	2.98 0.02
subsample	15 0
locator	2 0
human-computer	2.76 3.24
zig-zag	0 3
comfortable	0 4
baluja	0.28 7.72
rowley	0 3
non-intrusive	1.12 0.88
shumeet	0 8
upstream	0 4
wrapped	0 4
concerted	0 5
collaborators	0.08 4.92
gallery	2.2 0.8
pen-up	0.64 1.36
flann	0.58 0.42
schenkel	0 4
utah	0 3
cleaner	4.92 0.08
cosatto	0.42 0.58
proneness	1.12 0.88
fault-prone	0.54 0.46
karunanithi	0.5 0.5
rescheduling	0.62 0.38
crew	0.96 1.04
pilots	2 0
braun	0 6
gerlache	0.64 0.36
airline	1.98 0.02
horner	4 0
cpr	0.62 0.38
strand	0 3
kabsch	0.48 0.52
covary	4 0
xclass	0.48 0.52
sander	1.7 0.3
wally	0.52 0.48
td-gammon	6 0
internet	0.66 3.34
players	0.68 3.32
stones	0.5 0.5
nicol	3.86 1.14
pii	4 0
warn	3.9 0.1
paa	0.36 0.64
phase-lag	0 3
potter	0 2
vapor	1.58 0.42
climate	0 2
haft	4 0
chau	0.38 0.62
quadrature-phase	0.76 1.24
self-resetting	0 2
pickard	0 2
mume	0 3
singularly	0 2
coggins	0.64 2.36
retrograde	0 5
ultra	5 0
wattle	0.16 0.84
dacs	0.26 2.74
multiterminal	0.5 0.5
waugh	2 0
wyatt	0 3
reminder	1.64 2.36
anton	0 3
wilfried	1.72 0.28
osuna	4 0
cnn	0.52 2.48
kong	12 0
ras	0 2
omniscient	0 3
dong	0.02 8.98
wsrgstter	0.38 0.62
unmatched	4 0
pseudo-code	6 0
muesli	0.62 0.38
fulfringe	0.64 0.36
nlist	0.68 0.32
tohoku	0.18 1.82
vmos	0.72 1.28
hiroshi	0.58 1.42
ohmi	0 2
grant-in-aid	2.94 1.06
shibata	0.22 1.78
realis-	0 4
neuralog	0.18 0.82
azimuthal	0.04 4.96
gnu	0 3
log-likelihoods	9 0
amap	1.1 0.9
van-	3.98 0.02
punctuation	3 0
shape-from-texture	0 2
sakai	0.14 0.86
bayes-optimal	6.98 0.02
mlcm	0.68 0.32
treue	0 4
segregates	0 3
sfm	0.42 0.58
visuotopic	3 0
tda	1.26 0.74
vex	4 0
courant	0.02 3.98
polygonal	4.96 0.04
scale-space	3 0
endings	0 3
temporal-	0 4
vivid	0 5
tdsi	0.1 0.9
inducer	0.22 0.78
sajda	2.08 2.92
owned	0 3
sdti	0.14 0.86
ownership	2.68 0.32
pacman	0 2
knill	5 0
symmetrized	1.82 3.18
highpass	0.12 3.88
spotters	0.44 2.56
keyword	2.52 0.48
kw	0 3
wordspotter	0.12 1.88
talkers	0 3
spotter	1.34 0.66
credit-card	3 0
fom	1.24 1.76
roi	0.02 3.98
p-unit	0 2
speechreading	3.02 0.98
x-units	0.38 0.62
leibler	7.98 0.02
hennecke	0 3
massaro	2.88 0.12
mase	0.06 3.94
ntn	0.58 0.42
mntn	0.56 0.44
cohort	0.54 0.46
text-independent	1.42 0.58
downsampled	7 0
fsvq	0.58 0.42
bag	3 0
hochberg	0 3
regulariza-	7.98 0.02
wsj	7 0
bll	3 0
gilkey	0.02 2.98
bregman	0.06 3.94
psychologists	0 5
malcolm	0.7 1.3
clifton	0 2
slaney	0 3
tabular	5 0
hammer	0 2
manipulandum	0 4
ferdinando	0 2
componential	0.26 1.74
utilise	2.72 0.28
accent	0 2
productivity	0.3 1.7
danube	0.24 0.76
expectancies	0.3 1.7
quarter-note	0.28 0.72
cretization	5 0
thermometer	3 0
treasury	5 0
figured	0.88 1.12
investments	3.98 0.02
condensing	2 0
transformable	2 0
income	2.24 0.76
blasig	0.66 0.34
t-space	4 0
landmark	0 9
ghiselli-crippa	0 2
t-unit	0.34 0.66
hrr	0.32 0.68
counter-intuitive	4.94 0.06
pbite	0.36 0.64
reminding	1.8 0.2
dot-product	5 0
contextualized	0.34 0.66
contextualization	0.38 0.62
rover	0.42 0.58
mort	0.48 0.52
hrrs	0.44 0.56
sh	0 4
yuriko	0 2
scree	1.18 0.82
southeast	0 2
northwest	0.24 1.76
diagrammatic	5 0
sperduti	3 0
lraam	0.54 0.46
multidisciplinary	7 0
corso	1.44 5.56
alessandro	3 0
beled	2.78 2.22
ipe	0.8 0.2
strawman	0.68 0.32
appended	7 0
aisb	0.66 0.34
contending	0.54 0.46
climb	2 4
pixel-by-pixel	0 5
salu	0.44 0.56
balloon	0.84 1.16
multi-spectral	0.54 2.46
sergejew	0.52 0.48
breathing	0.02 2.98
pre-classified	2 0
wixi	5 0
schizophrenic	0 3
ocd	0.46 0.54
schizophrenia	1.3 0.7
schiz	0.54 0.46
corti-	0 8
humbert	0.14 0.86
velocity-response	0.1 0.9
fiducial	0.24 3.76
unconscious	0 7
cleanup	0.38 0.62
naming	0 3
emanuel	0.6 2.4
positron	0.02 3.98
todorov	0 4
curl	0 4
vpp	0 2
vps	0.36 0.64
michiro	0.38 0.62
npp	0.34 0.66
vts	0.3 0.7
negishi	0.32 0.68
co-occurrence	0 12
chases	0 3
transitive	1.94 0.06
rcp	0.38 0.62
reggia	0 2
dementia	1.78 0.22
multi-infarct	0.28 0.72
sub-lesions	0.32 0.68
miall	0 5
reafferent	0.3 0.7
overestimating	2.98 0.02
projector	1.02 1.98
assistive	0.36 0.64
traveled	0.86 3.14
veridical	0 2
burgess	3 0
intrusions	0 3
baddeley	0.42 2.58
pronounceable	0 4
non-words	0 3
tomography	3 0
chemosensory	0 3
rprop	0.08 6.92
odor-receptor	0.16 0.84
ligands	0 2
ennis	0.34 0.66
riedmiller	0 4
cai	0 3
remap	0.02 2.98
attenuations	2 0
edi	0.2 0.8
radiatum	0.16 0.84
stratum	0.24 0.76
rgm	0.1 1.9
gyms	0.24 0.76
wan	6.86 0.14
gershenfeld	5 0
sean	1.1 0.9
verted	0.6 3.4
sponta-	0 4
syringeal	0 2
finch	0 2
birdsong	0.58 1.42
neuroanatomy	0 4
lman	0 2
nxiits	0 2
songbird	0 2
syrinx	0 2
preprogrammed	0 4
selectiv-	0 5
malach	0 2
risto	0 5
lissom	0 2
reti-	0.04 2.96
mani-	1.2 3.8
rafael	0.4 0.6
grill	0.38 0.62
kalanit	0.3 0.7
discretely	0.06 4.94
shiftable	2.76 0.24
congruent	0.02 2.98
cedric	0.24 0.76
icc-icx	0.24 0.76
malpeli	0 2
svilen	0.18 0.82
reappeared	2.94 0.06
strata	0.34 0.66
enforcement	2.44 4.56
schiller	0 3
vealed	1.22 3.78
reduced-gain	0.1 0.9
self-excitatory	0 3
b-x	0.2 0.8
a-y	0.2 0.8
fects	0 7
schizophrenics	0 2
delusions	0.26 0.74
themes	1.64 2.36
undamaged	0 2
intra-modular	2.68 1.32
reinnervation	0 2
disregarded	0 5
remappings	0 2
egocentric	0.12 4.88
movies	0 5
movie	0 8
knierim	0.02 5.98
postsubicular	0.32 1.68
disoriented	0 2
hemant	0.16 0.84
allocentric	0 3
abovementioned	4 0
threshold-functions	0.5 0.5
terman	0 2
deliang	0 4
lllll	0 3
nullclines	0 4
pansion	4 0
self-averaging	11 0
sollich	18 0
ferra	0.86 0.14
dh	3.12 3.88
timate	9 0
vc-formalism	3 0
macintyre	4 0
reviewers	8 0
distortion-enhanced	0.66 0.34
vedelsby	2 0
jesper	0.68 0.32
repairs	2 0
perfmon	0.56 0.44
wan-ping	0.54 0.46
bursty	3.92 0.08
eoo	1.2 0.8
cumulants	7.96 0.04
sins	1.66 1.34
brauer	2 0
deco	6 0
summands	3 0
decorre-	0 4
volume-conserving	0.68 0.32
decorrelated	0.06 7.94
cumulant	9.96 0.04
loosing	1.88 1.12
gustavo	3 0
factoffal	12 0
decorrelate	0 8
unrealisable	0.8 0.2
glenn	0.78 0.22
dto	1.62 0.38
unlearnability	4 0
toru	2 0
ohira	0.96 1.04
hansel	1.64 0.36
mansour	4 0
unnatural	3.98 0.02
signum	3 0
saeed	2 0
hadjifaradji	2 0
k-blocking	0.84 0.16
p-concept	0.9 0.1
dunmur	2 0
rau	4 0
mtse	0.72 0.28
msse	0.58 0.42
imperfectly	1.94 3.06
underdetermined	3 0
kabashima	0.26 2.74
holden	5 0
tdnngf	0.7 0.3
kz	0 4
sdfs	0.44 0.56
linsker-type	0.54 0.46
arfs	0.48 0.52
nonempty	7 0
sdf	0.66 0.34
vie	3.86 0.14
exceedance	0.78 0.22
clumping	0.7 0.3
mx	4 0
semidefinite	6 0
mukherjee	2.98 0.02
sayandev	0.8 0.2
non-markov	3.98 0.02
terministic	9 0
pol-	8.98 0.02
pomdp	17 0
undiscounted	7 0
accrued	4.86 0.14
monte-	6 0
rao	0 13
residual-gradient	0.68 0.32
leemon	1.72 0.28
quadruples	0.8 0.2
semi-batch	0.84 0.16
asa	3.98 0.02
state-estimation	6 0
gridworld	2 0
cost-to-go	5 0
compass	1.02 0.98
car-on-the-hill	1.98 0.02
puddle	2 0
grow-support	0.56 0.44
rollouts	0 3
rollout	2.98 0.02
aliased	0.64 1.36
voted	4 0
recurrent-q	0.64 0.36
mccallum	4 0
udm	0.64 0.36
utile	4.98 0.02
docking	1.76 0.24
nsm	0.38 1.62
usages	0.66 0.34
decompo-	8 0
pay-off	0.68 0.32
semi-markov	8.98 0.02
semi-maxkov	0.8 0.2
value-function	6 0
smdp	4 0
servers	2 0
oping	0 4
crites	5.18 0.82
dollar	0 4
markets	7.84 2.16
validating	0 8
annualized	0 4
know-	5 0
taniguchi	2 0
non-constant	7 0
variance-based	0 2
michiaki	0.7 0.3
perts	2.98 0.02
viterbi-like	2 0
iohmms	3 0
ait	1.38 1.62
catch	0 4
semiparametric	5 0
doubly	5.98 0.02
cant	0.06 5.94
distracting	0 5
highlighting	0 3
mds	0 5
non-metric	3 0
em-like	6 0
priately	0 4
inter-cluster	0.04 2.96
jolla	0 4
h-j	0.52 0.48
microphones	3.62 1.38
morgan-kaufmann	4 0
information-maximisation	4.96 0.04
maximised	5 0
comon	5.92 0.08
ecological	7 0
qg	3 0
bingo	1.92 0.08
plasticity-mediated	0.48 0.52
tai	0.02 2.98
phase-space	5 0
fu-sheng	0.5 0.5
ctd	2.6 0.4
nix	0.5 7.5
upsampled	2.98 0.02
html	4.38 0.62
rbf-based	1.16 1.84
gcs	0.54 0.46
dcs-gcs	0.54 0.46
soms	4 0
sommer	0.54 1.46
dcs	0.52 0.48
pap	2.02 0.98
vi-analysis	0.56 0.44
winners-take-all	0.54 0.46
minimised	4.92 0.08
p-rce	0.4 0.6
supervisors	0.66 1.34
stock	14 0
dax	1.2 2.8
fms	2 0
flatness	2 0
sepp	2.68 0.32
sim	0 3
rsa	0.64 0.36
hepoch	0.58 0.42
securities	0.68 3.32
baysian	6 0
dej	5 0
ryohei	3 0
ntt	3 0
uration	0.06 4.94
naonori	3 0
poste-	9 0
reparameterization	4 0
irreducible	5.98 0.02
ldon	1.94 1.06
emmanuel	1.42 0.58
tenenbaum	0 10
rial	5 0
aggressively	2.3 1.7
o-update	0.8 0.2
solvers	3 0
szymanski	0.8 0.2
ofx	4.26 0.74
regressors	3 0
tkm	0.4 0.6
sardnet	0.48 0.52
a-vectors	0.58 1.42
reusable	2.96 0.04
mally	7 0
niyogi	2 0
xr	6 0
example-based	7 0
partha	0.8 0.2
unstandardized	0.38 0.62
variance-covariance	2.28 0.72
takane	0.46 0.54
yoshio	0.44 0.56
vlo	0 3
batch-mode	4 0
template-based	3.96 0.04
subexpressions	2 0
epithelial	1.52 2.48
quantizers	0.02 3.98
cvq	1.94 0.06
chl	0.6 0.4
matlab	0 18
irls	0.86 0.14
single-loop	1.72 0.28
claire	0.78 0.22
legleye	1.7 0.3
ripples	0.04 1.96
nar-	1.58 2.42
cu-	0 4
non-cumulative	0.54 0.46
multitask	0 5
caruana	5.92 0.08
stb	0.36 0.64
road-following	1.08 0.92
loc	0 2
mtb	0.5 0.5
graph-based	5 0
t-distance	0.66 0.34
tree-based	5 0
hastie	16 0
ruspini	1.94 0.06
owpq	0.64 0.36
morten	0.82 1.18
councils	8 0
gmb	0.74 0.26
axis-parallel	8 0
bias-minimizing	2 0
variance-minimizing	0.12 1.88
point-sets	1 1
